code,open,close,high,low,volume,money,pct_change,tradDays,date
000058.XSHE,6.72,6.22,6.72,6.01,33802846.0,216172229.46999997,-0.0049923020239269755,5,2021-01-10
000058.XSHE,6.21,6.23,6.28,5.84,27478104.0,166296783.38000003,9.374824453556307e-05,5,2021-01-17
000058.XSHE,6.14,6.06,6.44,6.06,26417301.0,164864226.31,-0.0017007083433892012,5,2021-01-24
000059.XSHE,5.68,5.7,5.81,5.41,56529417.0,315435449.52000004,0.00019429272778404005,4,2020-12-27
000059.XSHE,5.74,5.52,5.76,5.42,57428365.0,318715445.81,-0.0017999897120273278,4,2021-01-03
000059.XSHE,5.5,5.54,5.79,5.44,87800714.0,493299580.56000006,0.00019866012801350585,5,2021-01-10
000059.XSHE,5.54,5.45,5.59,5.32,55101596.0,300124587.90000004,-0.000901489918762266,5,2021-01-17
000059.XSHE,5.44,5.74,5.93,5.41,81029798.0,466801749.46000004,0.0028995661923902905,5,2021-01-24
000060.XSHE,4.83,4.87,4.88,4.53,254156032.0,1196720160.25,-0.00030820675659404273,4,2020-12-27
000060.XSHE,4.9,4.82,4.97,4.65,284475894.0,1376955756.5600002,-0.0005037192439999449,4,2021-01-03
000060.XSHE,4.84,4.82,5.02,4.68,434293281.0,2115233858.3600001,-2.2893268017964985e-06,5,2021-01-10
000060.XSHE,4.72,4.36,4.73,4.3,288908245.0,1298864725.31,-0.004595699820683197,5,2021-01-17
000060.XSHE,4.35,4.38,4.61,4.3,206677775.0,917342626.3,0.00019767852186469703,5,2021-01-24
000061.XSHE,6.97,6.94,7.25,6.69,70415480.0,492797121.5899999,-0.0009038464856319095,4,2020-12-27
000061.XSHE,6.92,7.05,7.18,6.86,62171679.0,438768780.87,0.001095436260919902,4,2021-01-03
000061.XSHE,7.05,7.21,7.43,7.03,128280495.0,933537141.51,0.001596263682651422,5,2021-01-10
000061.XSHE,7.21,6.23,7.23,6.1,87425142.0,567067682.0,-0.009777726622864247,5,2021-01-17
000061.XSHE,6.24,6.19,6.36,6.17,36388045.0,227584960.72,-0.000400639953902604,5,2021-01-24
000062.XSHE,13.2,12.22,13.35,12.18,11629255.0,146427016.16,-0.009873310999999996,4,2020-12-27
000062.XSHE,12.3,12.44,12.51,12.01,12976714.0,159163821.02,0.0021991685117515036,4,2021-01-03
000062.XSHE,12.45,12.09,12.49,11.73,19957564.0,243052923.41000003,-0.003510684406131892,5,2021-01-10
000062.XSHE,11.96,12.32,12.37,11.84,17003968.0,206155259.8,0.002299737250811784,5,2021-01-17
000062.XSHE,12.31,12.0,12.54,11.93,16635177.0,204029563.20999998,-0.003198895484809672,5,2021-01-24
000063.XSHE,32.23,31.04,32.3,30.72,167296841.0,5263490711.580002,-0.01337078359115329,4,2020-12-27
000063.XSHE,31.04,33.65,34.06,30.51,411138759.0,13566293027.280003,0.02595723846884157,4,2021-01-03
000063.XSHE,33.0,33.9,35.13,32.21,572821789.0,19361539029.68,0.0023176918288911885,5,2021-01-10
000063.XSHE,34.19,35.1,37.24,33.68,714221137.0,25411705626.130005,0.011846287873163552,5,2021-01-17
000063.XSHE,35.3,33.88,37.09,33.8,479439356.0,17023038106.38,-0.012329345049776008,5,2021-01-24
000065.XSHE,7.38,7.44,7.46,7.21,12705821.0,92989857.75999999,0.0002968396528639783,4,2020-12-27
000065.XSHE,7.4,7.46,7.48,7.31,9870536.0,73066440.06,0.00019892960399992,4,2021-01-03
000065.XSHE,7.46,7.4,7.68,7.32,20344887.0,152662930.34,-0.000603651733715127,5,2021-01-10
000065.XSHE,7.38,7.37,7.39,7.11,15460495.0,112748341.0,-0.00030190051967371456,5,2021-01-17
000065.XSHE,7.36,7.08,7.37,7.07,19601834.0,141096299.08999997,-0.0028972307712142875,5,2021-01-24
000066.XSHE,16.13,17.19,17.8,15.78,399801159.0,6740014045.77,0.009393135768849925,4,2020-12-27
000066.XSHE,17.19,18.99,19.42,16.91,418373785.9999999,7533408683.360001,0.01807190253654878,4,2021-01-03
000066.XSHE,19.25,19.66,20.92,19.1,650737368.0,13090010385.45,0.006545711553284095,5,2021-01-10
